timestamp,context,num_transactions,min_support,min_confidence,num_frequent_itemsets,num_rules,avg_confidence,max_confidence,runtime_seconds,status,error
2026-01-23 11:12:16,time_bucket=morning|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=low,3298,0.002,0.1,249,10,0.255,0.5,2.27,success,
2026-01-23 11:12:18,time_bucket=morning|is_weekend=0|day_of_week=2|basket_size_category=small|purchase_frequency=high,23387,0.002,0.1,229,12,0.225,0.5613,2.28,success,
2026-01-23 11:12:29,time_bucket=morning|is_weekend=0|day_of_week=3|basket_size_category=large|purchase_frequency=high,18733,0.002,0.1,4722,2866,0.2664,0.9524,10.84,success,
2026-01-23 11:12:32,time_bucket=morning|is_weekend=0|day_of_week=5|basket_size_category=small|purchase_frequency=high,21476,0.002,0.1,223,11,0.1956,0.4714,2.82,success,
2026-01-23 11:12:36,time_bucket=morning|is_weekend=0|day_of_week=1|basket_size_category=medium|purchase_frequency=low,9233,0.002,0.1,978,226,0.2008,0.6176,3.79,success,
2026-01-23 11:12:39,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=high,26886,0.002,0.1,210,2,0.1043,0.1081,3.34,success,
2026-01-23 11:12:47,time_bucket=afternoon|is_weekend=1|day_of_week=6|basket_size_category=large|purchase_frequency=low,5709,0.002,0.1,3933,1984,0.213,0.7059,7.57,success,
2026-01-23 11:12:53,time_bucket=evening|is_weekend=1|day_of_week=0|basket_size_category=small|purchase_frequency=medium,3963,0.002,0.1,256,6,0.1531,0.2045,6.26,success,
2026-01-23 11:13:06,time_bucket=afternoon|is_weekend=0|day_of_week=4|basket_size_category=large|purchase_frequency=low,3738,0.002,0.1,3981,2144,0.2323,0.8889,12.83,success,
2026-01-23 11:13:11,time_bucket=afternoon|is_weekend=1|day_of_week=0|basket_size_category=large|purchase_frequency=low,9150,0.002,0.1,4564,2628,0.2215,0.6471,5.44,success,
2026-01-23 11:13:15,time_bucket=night|is_weekend=0|day_of_week=3|basket_size_category=medium|purchase_frequency=medium,937,0.002,0.1,9443,3000,1.0,1.0,3.46,success,
2026-01-23 11:13:21,time_bucket=afternoon|is_weekend=0|day_of_week=1|basket_size_category=large|purchase_frequency=medium,13564,0.002,0.1,4375,2317,0.2171,0.6604,6.83,success,
